date,appclose,appopen,hpqclose,hqpopen,msftclose,msftopen,vzclose,vzopen,bacclose,bacopen,Nasdaqclose,Nasdaqopen
2016/11/12,105.684,107.74,16.17,15.85,58.0599,59.02,46.245,46.71,19.985,19.4,64.72,66.62
2016/11/11,108.43,107.12,15.82,15.4,59.02,58.23,46.69,46.7,19.02,18.64,66.44,66.98
2016/11/10,107.79,111.09,15.49,15.62,58.7,60.48,46.69,47.86,18.76,18.26,67.1,67.49
2016/11/9,110.88,109.88,15.57,15.07,60.17,60,47.86,47.01,17.97,17.66,66.93,65.21
2016/11/8,111.06,110.31,15.28,15.03,60.47,60.55,47.65,47.56,17,16.82,65.38,65.44
2016/11/7,110.41,110.08,15.05,14.9,60.42,59.78,47.46,47.39,17.01,16.86,65.46,65.33
2016/11/4,108.84,108.53,14.71,14.5,58.71,58.65,47.08,46.97,16.55,16.53,64.68,64.34
2016/11/3,109.83,110.98,14.54,14.67,59.21,59.53,46.87,46.98,16.48,16.475,64.16,63.8
2016/11/2,111.59,111.4,14.65,14.28,59.43,59.82,46.94,47.75,16.48,16.46,63.76,63.65
2016/11/1,111.49,113.46,14.35,14.51,59.8,59.97,47.66,48.32,16.61,16.56,63.52,63.8
2016/10/31,113.54,113.65,14.49,14.13,59.92,60.16,48.1,48.24,16.5,16.68,63.97,64.13
2016/10/28,113.72,113.87,14.09,13.94,59.87,60.01,48.21,48.56,16.68,16.95,64.09,64.04
2016/10/27,114.48,115.39,13.99,13.96,60.1,60.61,48.54,47.74,16.91,16.95,63.95,64.55
2016/10/26,115.59,114.31,13.91,13.85,60.63,60.81,47.63,47.74,16.87,16.64,64.69,65.22
2016/10/25,118.25,117.95,13.9,13.97,60.99,60.85,47.84,48.2,16.72,16.71,66.36,66.4
2016/10/24,117.65,117.1,13.97,13.86,61,59.94,48.21,48.71,16.77,16.75,66.3,66.26
2016/10/21,116.6,116.81,13.8,14.01,59.66,60.28,48.2,48.79,16.67,16.46,66.18,65.41
2016/10/20,117.06,116.86,14.1,14.08,57.25,57.5,49.14,49.54,16.56,16.45,65.73,66.53
2016/10/19,117.12,117.25,14.12,14.18,57.53,57.47,50.38,50.45,16.47,16.3,66.4,66.16
2016/10/18,117.47,118.18,14.21,14.19,57.66,57.53,50.27,50.61,16.26,16.19,66.21,66.79
2016/10/17,117.55,117.33,14.03,14.5,57.22,57.36,50.43,50.21,16.05,16.17,66.38,67.46
2016/10/14,117.63,117.88,14.48,14.63,57.42,57.12,50.28,50.34,16,16.15,67.24,67.41
2016/10/13,116.98,116.79,15.15,15.2,56.92,56.7,50.29,50.23,15.83,16.09,66.84,66.14
2016/10/12,117.34,117.35,15.35,15.48,57.11,57.11,50.3,49.96,16.03,16.09,66.46,65.74
2016/10/11,116.3,117.7,15.44,15.6,57.19,57.89,49.9,50.1,16.11,16.26,65.94,66.16
2016/10/10,116.05,115.02,15.59,15.69,58.04,57.91,50.19,50.23,16.3,16.215,66.42,67.13
2016/10/7,114.06,114.31,15.58,15.62,57.8,57.85,49.92,50.46,16.13,16.19,67.03,67.47
2016/10/6,113.89,113.7,15.6,15.63,57.74,57.74,50.26,50.32,16.22,16.17,67.35,66.88
2016/10/5,113.05,113.4,15.63,15.43,57.64,57.29,50.27,50.69,16.11,15.96,66.87,66.8
2016/10/4,113,113.06,15.36,15.68,57.24,57.27,51.26,51.77,15.8,15.7,66.79,67.21
2016/10/3,112.52,112.71,15.65,15.46,57.42,57.405,51.88,51.84,15.63,15.59,67.05,67.28
2016/9/30,113.05,112.46,15.53,15.47,57.6,57.57,51.98,52.43,15.65,15.26,67.54,67.8
2016/9/29,112.18,113.16,15.39,15.46,57.4,57.81,52.12,51.84,15.16,15.38,67.48,68.31
2016/9/28,113.95,113.69,15.49,15.4,58.03,57.88,52.06,52.31,15.38,15.36,68.21,68.56
2016/9/27,113.09,113,15.34,15,57.95,56.93,52.49,52.31,15.29,15.01,68.55,68.74
2016/9/26,112.88,111.64,15.02,15,56.9,57.08,52.15,52.45,15.09,15.4,68.84,69.18
2016/9/23,112.71,114.42,15.09,15.1,57.43,57.87,52.56,52.3,15.52,15.53,69.46,69.79
2016/9/22,114.62,114.35,15.12,14.98,57.82,57.92,52.35,52.15,15.6,15.69,70.44,71
2016/9/21,113.55,113.85,14.99,14.63,57.76,57.51,51.87,51.37,15.65,15.71,70.67,69.93
2016/9/20,113.57,113.05,14.54,14.64,56.81,57.35,51.27,51.6,15.6,15.74,69.62,70.1
2016/9/19,113.58,115.19,14.56,14.58,56.93,57.27,51.2,51.89,15.59,15.55,69.8,69.68
2016/9/16,114.92,115.12,14.53,14.74,57.25,57.63,51.88,51.89,15.49,15.66,69.47,69.11
2016/9/15,115.57,113.86,14.5,14.19,57.19,56.15,51.98,51.49,15.67,15.64,69.52,68.68
2016/9/14,111.77,108.73,14.27,14.18,56.26,56.39,51.49,51.59,15.63,15.67,68.69,68.83
2016/9/13,107.95,107.51,14.18,14.35,56.53,56.5,51.45,52.05,15.72,15.67,69.06,69.05
2016/9/12,105.44,102.65,14.49,13.85,57.05,56,52.57,51.75,15.9,15.65,69.48,68.71
2016/9/9,103.13,104.64,14.07,14.52,56.21,56.79,51.82,53.13,15.74,15.91,68.98,69.78
2016/9/8,105.52,107.25,14.63,14.6,57.43,57.63,53.6,53.6,15.86,15.77,70.21,70.75
2016/9/7,108.36,107.83,14.69,14.63,57.66,57.47,53.71,53.5,15.7,15.72,70.9,70.65
2016/9/6,107.7,107.9,14.63,14.54,57.61,57.78,53.51,53.09,15.78,16.05,71.5,71.83
2016/9/2,107.73,107.7,14.49,14.61,57.67,57.67,52.88,52.8,16,15.94,71.67,71.88
2016/9/1,106.73,106.14,14.5,14.39,57.59,57.01,52.56,52.14,15.98,16.15,71.64,71.23
2016/8/31,106.1,105.66,14.37,14.34,57.46,57.65,52.33,52.22,16.14,16.21,71.21,71.11
2016/8/30,106,105.8,14.38,14.43,57.89,57.98,52.27,52.58,16.19,15.87,71.34,71.05
2016/8/29,106.82,106.62,14.43,14.41,58.1,58.18,52.5,52.36,15.84,15.81,71.1,70.59
2016/8/26,106.94,107.41,14.39,14.37,58.03,58.28,52.07,52.64,15.79,15.61,70.49,70.83
2016/8/25,107.57,107.39,14.37,13.64,58.17,57.88,52.75,52.53,15.53,15.42,70.62,70.24
2016/8/24,108.03,108.565,14.4,14.67,57.95,57.8,52.53,52.55,15.4,15.37,70.28,70.4
2016/8/23,108.85,108.59,14.57,14.43,57.89,57.9,52.63,52.655,15.35,15.26,70.56,70.67
2016/8/22,108.51,108.86,14.37,14.36,57.67,57.6,52.55,52.58,15.18,15.2,70.48,70.15
2016/8/19,109.36,108.77,14.42,14.46,57.62,57.43,52.45,52.89,15.22,15.13,70.44,70.12
2016/8/18,109.08,109.23,14.51,14.52,57.6,57.42,52.87,52.95,15.16,15.11,70.32,70.31
2016/8/17,109.22,109.1,14.5,14.4,57.56,57.54,53.17,52.9,15.15,15.16,70.21,69.45
2016/8/16,109.38,109.63,14.41,14.46,57.44,57.61,52.76,53.5,15.17,14.97,69.28,69.9
2016/8/15,109.48,108.14,14.52,14.31,58.12,58.01,53.61,53.66,15.02,14.97,70.09,70.03
2016/8/12,108.18,107.78,14.28,14.29,57.94,58.03,53.65,53.96,14.91,14.77,70.15,69.88
2016/8/11,107.93,108.52,14.3,14.2,58.3,58.03,53.86,53.81,14.88,14.83,70.03,70.67
2016/8/10,108,108.71,14.19,14.28,58.02,58.16,53.81,53.82,14.81,15.16,70.32,70.06
2016/8/9,108.81,108.23,14.25,14.29,58.2,58.17,53.66,53.6,15.19,15.11,70.23,70.67
2016/8/8,108.37,107.52,14.26,14.3,58.06,58.055,53.59,53.64,15.13,15.08,70.5,71.36
2016/8/5,107.48,106.27,14.28,14.24,57.96,57.65,53.64,53.94,15.05,14.75,71.18,71.58
2016/8/4,105.87,105.58,14.15,14.33,57.39,56.8,53.93,54,14.48,14.48,71.43,71.51
2016/8/3,105.79,104.81,14.31,14.05,56.97,56.68,53.9,54.16,14.48,14.11,71.53,71.32
2016/8/2,104.48,106.05,14.06,13.92,56.58,56.85,54,54.45,14.13,14.28,71.2,71.41
2016/8/1,106.05,104.41,14.18,14.06,56.58,56.6,54.5,55.58,14.33,14.52,71.42,71
2016/7/29,104.21,104.19,14.01,13.91,56.68,56.26,55.41,54.99,14.49,14.56,70.76,70.65
2016/7/28,104.34,102.83,13.94,13.95,56.21,56,54.86,55.2,14.68,14.57,70.87,70.82
2016/7/27,102.95,104.265,13.99,14.26,56.19,56.61,55.32,54.95,14.63,14.57,70.84,68.5
2016/7/26,96.67,96.82,14.18,14.16,56.76,56.52,54.81,55.85,14.53,14.32,68.5,68.47
2016/7/25,97.34,98.25,14.16,14.1,56.73,56.47,55.87,56.1,14.37,14.31,68.44,67.8
2016/7/22,98.66,99.26,14.11,14.01,56.57,56.08,56.1,55.44,14.38,14.26,67.79,67.32
2016/7/21,99.43,99.83,14,14.13,55.8,55.98,55.37,55.53,14.27,14.43,67.37,67.54
2016/7/20,99.96,100,14.16,14.15,55.91,56.15,55.62,55.58,14.4,14.35,67.74,68.16
2016/7/19,99.87,99.56,14.05,13.93,53.09,53.71,55.7,55.96,14.26,14.06,68.07,67.18
2016/7/18,99.83,98.7,13.94,13.85,53.96,53.7,55.93,55.87,14.11,13.84,67.6,68.66
2016/7/15,98.78,98.92,13.85,13.89,53.7,53.95,55.84,56.05,13.66,13.78,67.51,67.6
2016/7/14,98.79,97.39,13.8,13.89,53.74,53.84,55.84,55.62,13.65,13.73,67.37,67.64
2016/7/13,96.87,97.41,13.81,13.73,53.51,53.56,56,55.58,13.44,13.5,67.17,67.64
2016/7/12,97.42,97.17,13.72,13.47,53.21,52.94,55.47,55.75,13.54,13.41,67.31,66.7
2016/7/11,96.98,96.75,13.16,13.17,52.59,52.5,55.93,55.75,13.21,13.29,66.43,66.23
2016/7/8,96.68,96.49,13.08,13.05,52.3,51.73,55.9,55.39,13.17,13.28,65.88,65.42
2016/7/7,95.94,95.7,12.85,12.66,51.38,51.42,55.38,56.1,13.01,12.865,64.92,64.85
2016/7/6,95.53,94.6,12.6,12.26,51.38,50.78,56.26,56.21,12.86,12.52,64.74,64.64
2016/7/5,94.99,95.39,12.36,12.62,51.17,50.83,56.53,56.32,12.74,12.93,64.59,63.72
2016/7/1,95.89,95.49,12.73,12.55,51.16,51.13,56.23,55.85,13.1,13.19,64.77,64.71
2016/6/30,95.6,94.44,12.55,12.27,51.17,50.72,55.84,55.27,13.27,13.37,64.67,64.42
2016/6/29,94.4,93.97,12.18,11.97,50.54,49.91,55.06,54.92,13.19,13.07,64.09,63.19
2016/6/28,93.59,92.9,11.79,11.67,49.44,48.92,54.82,54.76,12.7,12.57,62.6,61.75
2016/6/27,92.04,93,11.55,12.11,48.43,49.1,54.74,54.06,12.18,12.77,61.43,62.36
2016/6/24,93.4,92.91,12.26,12.41,49.83,49.81,54.43,54.47,13,13.05,63,62.16
2016/6/23,96.1,95.94,12.95,12.83,51.91,51.28,54.67,54.4,14.04,13.84,64.41,63.31
2016/6/22,95.55,96.25,12.61,12.81,50.99,51.08,54.03,54.23,13.61,13.6,63.09,63.09
2016/6/21,95.91,94.94,13.33,13.13,51.19,50.2,54.1,53.89,13.62,13.615,62.97,62.96
2016/6/20,95.1,96,13.07,13.28,50.07,50.64,53.76,54,13.54,13.74,63.09,64.61
2016/6/17,95.33,96.62,13.12,12.98,50.13,50.41,53.78,53.43,13.4,13.38,63.88,64.59
2016/6/16,97.55,96.45,12.98,12.94,50.39,49.52,53.46,52.84,13.31,13.23,64.89,64.28
2016/6/15,97.14,97.82,13,13.09,49.69,49.78,52.84,52.97,13.34,13.38,64.8,64.87
2016/6/14,97.46,97.32,13.05,13.01,49.83,49.9,52.99,52.37,13.26,13.56,64.89,64.85
2016/6/13,97.34,98.69,13.03,13.27,50.14,49.58,52.57,52.5,13.6,13.64,65.11,65.28
2016/6/10,98.83,98.53,13.5,13.71,51.48,51.05,52.67,51.86,13.83,13.98,65.58,65.09
2016/6/9,99.65,98.5,13.84,13.78,51.62,52,51.95,51.64,14.19,14.32,65.66,65.16
2016/6/8,98.94,99.02,13.87,13.69,52.04,52.02,51.52,51.51,14.43,14.35,65.22,64.86
2016/6/7,99.03,99.25,13.69,13.7,52.1,52.24,51.75,50.6,14.35,14.54,64.89,65.11
2016/6/6,98.63,97.99,13.67,13.43,52.13,51.99,50.71,51.06,14.52,14.44,65.13,65.01
2016/6/3,97.92,97.79,13.44,13.47,51.79,52.38,50.92,50.77,14.42,14.46,65.07,64.9
2016/6/2,97.72,97.6,13.54,13.39,52.48,52.64,50.77,50.47,14.94,14.95,65.15,65.28
2016/6/1,98.46,99.02,13.44,13.32,52.85,52.44,50.43,50.87,14.86,14.6,65.6,65.5
2016/5/31,99.86,99.6,13.38,13.12,53,52.26,50.9,50.88,14.79,15.03,66.01,65.75
2016/5/27,100.35,99.44,13.17,13.02,52.32,51.92,50.62,50.39,14.88,14.76,65.67,65.34
2016/5/26,100.41,99.68,13.04,12.5,51.89,51.93,50.16,49.85,14.7,14.98,65.02,65.38
2016/5/25,99.62,98.67,12.2,12.24,52.12,51.92,49.85,49.63,14.92,14.83,65.5,65.68
2016/5/24,97.9,97.22,11.91,11.68,51.59,50.7,49.58,49.36,14.68,14.6,65.62,64
2016/5/23,96.43,95.87,11.67,11.66,50.03,50.6,49.14,49.66,14.47,14.54,63.57,63.5
2016/5/20,95.22,94.64,11.66,11.48,50.62,50.48,49.66,49.8,14.52,14.64,63.62,63.41
2016/5/19,94.2,94.64,11.44,11.47,50.32,50.47,49.63,50,14.53,14.595,63.04,62.84
2016/5/18,94.56,94.16,11.57,11.58,50.81,50.48,50.39,50.92,14.69,14.02,63.05,62.3
2016/5/17,93.49,94.55,11.53,11.59,50.51,51.72,50.9,51.2,14.01,13.89,62.53,63.73
2016/5/16,93.88,92.39,11.64,11.53,51.83,50.8,51.23,50.77,13.93,13.82,63.73,63.52
2016/5/13,90.52,90,11.5,11.53,51.08,51.44,50.94,51.41,13.88,14.15,63.68,64.09
2016/5/12,90.34,92.72,11.56,11.78,51.51,51.2,51.47,51.22,14.14,14.3,64.18,63.76
2016/5/11,92.51,93.48,11.69,11.62,51.05,51.13,51.15,51.48,14.2,14.25,63.62,64.43
2016/5/10,93.42,93.33,11.61,11.48,51.02,50.33,51.54,51.38,14.3,14.08,64.59,64.33
2016/5/9,92.79,93,11.43,11.58,50.07,50.49,51.08,51.22,13.99,14.08,64.5,64.03
2016/5/6,92.72,93.37,11.59,11.4,50.39,49.92,51.12,50.91,14.11,13.83,64.03,63.17
2016/5/5,93.24,94,11.45,11.67,49.94,49.87,50.84,50.99,14.05,14.15,63.2,62.69
2016/5/4,94.19,95.2,11.59,11.65,49.87,49.84,50.84,50.48,14.13,14.09,62.58,61.95
2016/5/3,95.18,94.2,11.71,12.05,49.78,50.34,50.68,51.11,14.36,14.51,62.27,62.09
2016/5/2,93.64,93.965,12.12,12.26,50.61,50,51.32,51.22,14.77,14.58,63.01,61.74
2016/4/29,93.74,93.99,12.27,12.49,49.87,49.35,50.94,50.95,14.56,14.73,61.71,62.58
2016/4/28,94.83,97.61,12.57,12.74,49.9,50.62,51.02,51.3,14.79,14.92,62.86,63.59
2016/4/27,97.82,96,12.76,12.66,50.94,51.48,51.69,50.46,15.02,15.02,64.13,65.09
2016/4/26,104.35,103.91,12.73,12.59,51.44,52.26,50.44,50.98,15.09,15.02,64.41,64.21
2016/4/25,105.08,105,12.57,12.55,52.11,51.78,50.76,50.53,14.96,15.02,64.17,63.75
2016/4/22,105.68,105.01,12.61,12.52,51.78,51.91,50.55,50.15,15.11,14.865,63.99,63.7
2016/4/21,105.97,106.93,12.59,12.78,55.78,55.8,50.03,50.56,14.9,14.98,63.81,63.98
2016/4/20,107.13,106.64,12.8,12.82,55.59,56.29,51.75,52.15,14.93,14.56,64.13,64.13
2016/4/19,106.91,107.88,12.78,12.7,56.39,56.63,52.08,51.8,14.45,14.26,64.17,64.3
2016/4/18,107.48,108.89,12.67,12.48,56.46,55.49,51.73,51.37,14.17,13.85,64.14,64.03
2016/4/15,109.85,112.11,12.52,12.57,55.65,55.3,51.35,51.28,14,14.27,64.44,63.82
2016/4/14,112.1,111.62,12.55,12.56,55.36,55.22,51.36,51.28,14.14,13.71,63.67,63.37
2016/4/13,112.04,110.8,12.64,12.34,55.35,55.12,51.29,52.07,13.79,13.55,63.95,63.44
2016/4/12,110.44,109.34,12.22,12.2,54.65,54.37,51.95,51.66,13.27,13,63.15,63.65
2016/4/11,109.02,108.97,12.13,12.1,54.31,54.49,51.61,52.36,12.97,12.92,64.28,64.17
2016/4/8,108.66,108.91,12.06,12.09,54.42,54.67,52.18,52.2,12.88,13.03,63.65,64.4
2016/4/7,108.54,109.95,11.99,12.21,54.46,54.87,52,52.52,12.85,13.15,64.26,64.68
2016/4/6,110.96,110.23,12.28,12.03,55.12,54.36,53.52,53.616,13.27,13.2,64.95,64.81
2016/4/5,109.81,109.51,11.95,12.1,54.56,55.19,54.09,54.38,13.19,13.3,64.98,65.15
2016/4/4,111.12,110.42,12.1,12.24,55.43,55.43,54.42,54.03,13.51,13.54,65.55,66.39
2016/4/1,109.99,108.78,12.26,12.21,55.57,55.05,54.01,53.32,13.56,13.47,66.09,66.12
2016/3/31,108.99,109.72,12.32,12.3,55.23,54.95,54.08,54.01,13.52,13.49,66.38,65.39
2016/3/30,109.56,108.65,12.3,12.34,55.05,54.93,54.04,54.17,13.48,13.49,65.17,66.03
2016/3/29,107.68,104.89,12.28,12.03,54.71,53.66,54.05,53.51,13.42,13.54,65.57,64.67
2016/3/28,105.19,106,12.07,12.06,53.54,54.21,53.4,53.56,13.62,13.73,64.68,64.34
2016/3/24,105.67,105.47,12.07,11.98,54.21,53.84,53.56,52.74,13.68,13.41,64.02,65.35
2016/3/23,106.13,106.48,12.02,12.24,53.97,54.11,52.91,53.13,13.62,13.77,65.64,64.61
2016/3/22,106.72,105.25,12.26,12.09,54.07,53.61,53.21,53.42,13.76,13.67,65.42,64.1
2016/3/21,105.91,105.93,12.21,12.14,53.86,53.25,53.44,53.19,13.84,13.8,64.27,64.25
2016/3/18,105.92,106.34,12.18,11.78,53.49,54.92,53.24,53.81,13.79,13.68,64.51,65.87
2016/3/17,105.8,105.52,11.72,11.62,54.66,54.21,53.63,53.28,13.4,13.22,65.85,66.64
2016/3/16,105.97,104.61,11.62,11.41,54.35,53.45,53.21,52.67,13.31,13.51,66.61,66.5
2016/3/15,104.58,103.96,11.4,11.43,53.59,52.75,52.67,52.24,13.57,13.51,67.04,66.57
2016/3/14,102.52,101.91,11.47,11.63,53.17,52.71,52.54,52.55,13.64,13.72,66.83,65.71
2016/3/11,102.26,102.24,11.7,11.52,53.07,53,52.53,52.65,13.79,13.44,65.98,65.48
2016/3/10,101.17,101.41,11.42,11.39,52.05,52.93,52.32,52.55,13.27,13.23,64.97,64.8
2016/3/9,101.12,101.31,11.36,11.09,52.84,51.89,52.34,52.55,13.14,13.17,65.37,65.41
2016/3/8,101.03,100.78,11.05,11.2,51.65,50.8,52.46,52.05,13.06,13.4,64.87,63.86
2016/3/7,101.87,102.39,11.31,10.99,51.03,51.56,52.21,51.53,13.53,13.45,64.24,64.77
2016/3/4,103.01,102.37,11.18,11.15,52.03,52.4,51.81,51.75,13.54,13.76,64.94,65.25
2016/3/3,101.5,100.58,11.11,10.97,52.35,52.97,51.89,52.14,13.5,13.38,65.2,64.56
2016/3/2,100.75,100.51,10.9,10.93,52.95,52.41,52.12,51.37,13.41,13.2,64.49,64.99
2016/3/1,100.53,97.65,10.93,10.84,52.58,50.97,51.46,50.99,13.19,12.64,64.27,63.82
2016/2/29,96.69,96.86,10.69,10.64,50.88,51.35,50.73,50.86,12.52,12.7,63.29,63.96
2016/2/26,96.91,97.2,10.64,10.44,51.3,52.6,51.02,51.15,12.7,12.49,63.85,64.73
2016/2/25,96.76,96.05,10.34,10.16,52.1,51.73,51.11,50.9,12.32,12.14,64.51,63.88
2016/2/24,96.1,93.98,10.82,10.28,51.36,50.69,50.82,50.27,12.13,11.96,63.66,62.25
2016/2/23,94.69,96.4,10.31,10.61,51.18,52.34,50.63,50.97,12.16,12.47,63.14,64.47
2016/2/22,96.88,96.31,10.68,10.44,52.65,52.28,51.07,51.02,12.54,12.38,63.55,64.17
2016/2/19,96.04,96,10.32,10.49,51.82,51.97,50.86,50.74,12.13,12.22,62.93,62.53
2016/2/18,96.26,98.84,10.52,10.13,52.19,52.33,50.94,50.12,12.24,12.71,62.88,63.19
2016/2/17,98.12,96.67,10.08,9.88,52.42,51.49,50.32,50.41,12.56,12.57,62.96,61.89
2016/2/16,96.64,95.02,9.81,9.56,51.09,50.9,50.24,50.24,12.25,12.38,61.66,62.55
2016/2/12,93.99,94.19,9.42,9.09,50.5,50.25,50.11,49.54,11.95,11.48,61.31,61.46
